Year,Name,Points,Rebounds,Assists,Wins,Win Pct,Memorability,Another,URL
2000,Shaquille O'Neal,29.7,13.6,3.8,67,0.817073171,2,0,https://www.basketball-reference.com/players/o/onealsh01.html
2001,Allen Iverson,31.1,3.8,4.6,56,0.682926829,5,0,https://www.basketball-reference.com/players/i/iversal01.html
2002,Tim Duncan,25.5,12.7,3.7,58,0.707317073,2,0,https://www.basketball-reference.com/players/d/duncati01.html
2003,Tim Duncan,23.3,12.9,3.9,60,0.731707317,2,0,https://www.basketball-reference.com/players/d/duncati01.html
2004,Kevin Garnett,24.2,13.9,5,58,0.707317073,1,0,https://www.basketball-reference.com/players/g/garneke01.html
2005,Steve Nash,15.5,3.3,11.5,62,0.756097561,1,-1,https://www.basketball-reference.com/players/n/nashst01.html
2006,Steve Nash,18.8,4.2,10.5,54,0.658536585,1,-1,https://www.basketball-reference.com/players/n/nashst01.html
2007,Dirk Nowitzki,24.6,8.9,3.4,67,0.817073171,4,0,https://www.basketball-reference.com/players/n/nowitdi01.html
2008,Kobe Bryant,28.3,6.3,5.4,57,0.695121951,1,-1,https://www.basketball-reference.com/players/b/bryanko01.html
2009,LeBron James,28.4,7.6,7.2,66,0.804878049,5,0,https://www.basketball-reference.com/players/j/jamesle01.html
2010,LeBron James,29.7,7.3,8.6,61,0.743902439,2,0,https://www.basketball-reference.com/players/j/jamesle01.html
2011,Derrick Rose,25,4.1,7.7,62,0.756097561,5,0,https://www.basketball-reference.com/players/r/rosede01.html
2012,LeBron James,27.1,7.9,6.2,46,0.696969697,3,0,https://www.basketball-reference.com/players/j/jamesle01.html
2013,LeBron James,26.8,8,7.3,66,0.804878049,5,0,https://www.basketball-reference.com/players/j/jamesle01.html
2014,Kevin Durant,32,7.4,5.5,59,0.719512195,4,0,https://www.basketball-reference.com/players/d/duranke01.html
2015,Stephen Curry,23.8,4.3,7.7,67,0.817073171,3,0,https://www.basketball-reference.com/players/c/curryst01.html
2016,Stephen Curry,30.1,5.4,6.7,73,0.890243902,5,0,https://www.basketball-reference.com/players/c/curryst01.html
2017,Russell Westbrook,31.6,10.7,10.4,47,0.573170732,4,-1,https://www.basketball-reference.com/players/w/westbru01.html
2018,James Harden,30.4,5.4,8.8,65,0.792682927,3,0,https://www.basketball-reference.com/players/h/hardeja01.html
2019,Giannis Antetokounmpo,27.7,12.5,5.9,60,0.731707317,3,0,https://www.basketball-reference.com/players/a/antetgi01.html
2020,Giannis Antetokounmpo,29.5,13.6,5.6,56,0.767123288,3,0,https://www.basketball-reference.com/players/a/antetgi01.html
