Name,Basketball Reference URL
LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html
Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html
Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html
James Harden,https://www.basketball-reference.com/players/h/hardeja01.html
Steph Curry,https://www.basketball-reference.com/players/c/curryst01.html
Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html
Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html
Chris Paul,https://www.basketball-reference.com/players/p/paulch01.html
Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html
Joel Embiid,https://www.basketball-reference.com/players/e/embiijo01.html
