Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2009-10,20,OKC,76.0,9.9,3.2,1.8,0.808,0.484,14.0,0.551,0.002,
2010-11,21,OKC,82.0,12.2,3.1,2.1,0.843,0.518,16.4,0.598,0.1509,
2011-12,22,OKC,62.0,16.8,4.1,3.7,0.846,0.582,21.1,0.66,0.3598,
2012-13,23,HOU,78.0,25.9,4.9,5.8,0.851,0.504,23.0,0.6,0.3161,
2013-14,24,HOU,73.0,25.4,4.7,6.1,0.866,0.529,23.5,0.618,0.3784,
2014-15,25,HOU,81.0,27.4,5.7,7.0,0.868,0.511,26.7,0.605,0.4071,
2015-16,26,HOU,82.0,29.0,6.1,7.5,0.86,0.512,25.3,0.598,0.402,
2016-17,27,HOU,81.0,29.1,8.1,11.2,0.847,0.525,27.4,0.613,0.5037,
2017-18,28,HOU,72.0,30.4,5.4,8.8,0.858,0.541,29.8,0.619,0.4803,Yes
2018-19,29,HOU,78.0,36.1,6.6,7.5,0.879,0.541,30.6,0.616,0.5425,Yes
2019-20,30,HOU,68.0,34.3,6.6,7.5,0.865,0.543,29.1,0.626,0.5191,Yes
2020-21,31,TOT,14.0,24.0,6.1,10.8,0.867,0.544,22.0,0.619,0.459,
2020-21,31,HOU,8.0,24.8,5.1,10.4,0.883,0.537,23.4,0.613,0.455,
2020-21,31,BRK,6.0,23.0,7.3,11.3,0.844,0.556,20.2,0.628,0.4635,
