Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2008-09,20,OKC,82.0,15.3,4.9,5.3,0.815,0.414,15.2,0.489,0.1519,
2009-10,21,OKC,82.0,16.1,4.9,8.0,0.78,0.428,17.8,0.491,0.2245,
2010-11,22,OKC,82.0,21.9,4.6,8.2,0.842,0.454,23.6,0.538,0.3925,
2011-12,23,OKC,66.0,23.6,4.6,5.5,0.823,0.481,22.9,0.538,0.3737,
2012-13,24,OKC,82.0,23.2,5.2,7.4,0.8,0.47,23.9,0.532,0.3922,
2013-14,25,OKC,46.0,21.8,5.7,6.9,0.826,0.48,24.7,0.545,0.4218,
2014-15,26,OKC,67.0,28.1,7.3,8.6,0.835,0.455,29.1,0.536,0.5059,
2015-16,27,OKC,80.0,23.5,7.8,10.4,0.812,0.489,27.6,0.554,0.5582,Yes
2016-17,28,OKC,81.0,31.6,10.7,10.4,0.845,0.476,30.6,0.554,0.6676,Yes
2017-18,29,OKC,80.0,25.4,10.1,10.3,0.737,0.477,24.7,0.524,0.5128,Yes
2018-19,30,OKC,73.0,22.9,11.1,10.7,0.656,0.468,21.1,0.501,0.4331,
2019-20,31,HOU,57.0,27.2,7.9,7.0,0.763,0.493,21.0,0.536,0.4505,
2020-21,32,WAS,9.0,18.1,9.7,10.2,0.617,0.411,12.3,0.444,0.1864,
