Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1956-57,22,BOS,14.7,19.6,1.8,0.492,0.0,20.9,0.45,0.1486
1957-58,23,BOS,16.6,22.7,2.9,0.519,0.0,22.8,0.465,0.3243
1958-59,24,BOS,16.7,23.0,3.2,0.598,0.0,20.7,0.493,0.4299
1959-60,25,BOS,18.2,24.0,3.7,0.612,0.0,20.1,0.496,0.485
1960-61,26,BOS,16.9,23.9,3.4,0.55,0.0,18.1,0.454,0.3027
1961-62,27,BOS,18.9,23.6,4.5,0.595,0.0,19.4,0.489,0.4694
1962-63,28,BOS,16.8,23.6,4.5,0.555,0.0,18.2,0.464,0.3489
1963-64,29,BOS,15.0,24.7,4.7,0.55,0.0,19.3,0.461,0.3564
1964-65,30,BOS,14.1,24.1,5.3,0.573,0.0,19.5,0.472,0.3946
1965-66,31,BOS,12.9,22.8,4.8,0.551,0.0,17.3,0.448,0.254
1966-67,32,BOS,13.3,21.0,5.8,0.61,0.0,18.6,0.5,0.4202
1967-68,33,BOS,12.5,18.6,4.6,0.537,0.0,17.0,0.461,0.1851
1968-69,34,BOS,9.9,19.3,4.9,0.526,0.0,15.2,0.467,0.1539
