Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1998-99,20,DAL,0.0466,0.0441,0.1071,0.0,0.0,0.173,0.1538,0.0525
1999-00,21,DAL,0.5285,0.5,0.6429,0.4014,0.7073,0.427,0.6643,0.3871
2000-01,22,DAL,0.7513,0.8971,0.5,0.4577,0.878,0.7135,0.9231,0.5121
2001-02,23,DAL,0.8342,1.0,0.6071,0.5634,0.8618,0.7838,0.9091,0.5559
2002-03,24,DAL,0.9223,1.0,0.8214,0.7606,0.7073,0.8649,0.7832,0.586
2003-04,25,DAL,0.7513,0.8235,0.7143,0.7324,0.6016,0.6973,0.6434,0.4964
2004-05,26,DAL,0.9741,0.9706,0.8571,0.6761,0.5203,0.8919,0.7622,0.5652
2005-06,27,DAL,1.0,0.8676,0.75,0.9014,0.7236,1.0,0.8392,0.6082
2006-07,28,DAL,0.8964,0.8529,0.9643,0.9225,0.8374,0.973,0.951,0.6398
2007-08,29,DAL,0.8446,0.8088,1.0,0.7465,0.6829,0.8108,0.8112,0.5705
2008-09,30,DAL,0.9637,0.7794,0.6071,0.8239,0.5854,0.7297,0.6643,0.5154
2009-10,31,DAL,0.9171,0.6765,0.7143,1.0,0.5854,0.7189,0.7622,0.5374
2010-11,32,DAL,0.8135,0.5735,0.6786,0.838,0.9675,0.7459,1.0,0.5617
2011-12,33,DAL,0.7409,0.5294,0.5357,0.8662,0.561,0.6541,0.6643,0.4552
2012-13,34,DAL,0.5181,0.5441,0.6429,0.6127,0.7317,0.5514,0.6643,0.4265
2013-14,35,DAL,0.7461,0.4559,0.7143,0.8873,1.0,0.7568,0.9371,0.5498
2014-15,36,DAL,0.5181,0.4118,0.4286,0.7676,0.6667,0.5189,0.6364,0.3948
2015-16,37,DAL,0.5699,0.5,0.3929,0.8451,0.6341,0.5081,0.6014,0.4052
2016-17,38,DAL,0.3575,0.5,0.2857,0.7183,0.561,0.4,0.4196,0.3242
2017-18,39,DAL,0.2435,0.3824,0.3214,0.8803,0.9837,0.3838,0.7413,0.3936
2018-19,40,DAL,0.0,0.0,0.0,0.0493,0.1463,0.0,0.0,0.0196
