Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1998-99,20,DAL,8.2,3.4,1.0,0.773,0.426,12.8,0.491,0.0525
1999-00,21,DAL,17.5,6.5,2.5,0.83,0.513,17.5,0.564,0.3871
2000-01,22,DAL,21.8,9.2,2.1,0.838,0.534,22.8,0.601,0.5121
2001-02,23,DAL,23.4,9.9,2.4,0.853,0.532,24.1,0.599,0.5559
2002-03,24,DAL,25.1,9.9,3.0,0.881,0.513,25.6,0.581,0.586
2003-04,25,DAL,21.8,8.7,2.7,0.877,0.5,22.5,0.561,0.4964
2004-05,26,DAL,26.1,9.7,3.1,0.869,0.49,26.1,0.578,0.5652
2005-06,27,DAL,26.6,9.0,2.8,0.901,0.515,28.1,0.589,0.6082
2006-07,28,DAL,24.6,8.9,3.4,0.904,0.529,27.6,0.605,0.6398
2007-08,29,DAL,23.6,8.6,3.5,0.879,0.51,24.6,0.585,0.5705
2008-09,30,DAL,25.9,8.4,2.4,0.89,0.498,23.1,0.564,0.5154
2009-10,31,DAL,25.0,7.7,2.7,0.915,0.498,22.9,0.578,0.5374
2010-11,32,DAL,23.0,7.0,2.6,0.892,0.545,23.4,0.612,0.5617
2011-12,33,DAL,21.6,6.7,2.2,0.896,0.495,21.7,0.564,0.4552
2012-13,34,DAL,17.3,6.8,2.5,0.86,0.516,19.8,0.564,0.4265
2013-14,35,DAL,21.7,6.2,2.7,0.899,0.549,23.6,0.603,0.5498
2014-15,36,DAL,17.3,5.9,1.9,0.882,0.508,19.2,0.56,0.3948
2015-16,37,DAL,18.3,6.5,1.8,0.893,0.504,19.0,0.555,0.4052
2016-17,38,DAL,14.2,6.5,1.5,0.875,0.495,17.0,0.529,0.3242
2017-18,39,DAL,12.0,5.7,1.6,0.898,0.547,16.7,0.575,0.3936
2018-19,40,DAL,7.3,3.1,0.7,0.78,0.444,9.6,0.469,0.0196
