Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
2003-04,22,MIA,0.2632,0.2,0.3182,0.434,0.3871,0.2601,0.5285,0.2391
2004-05,23,MIA,0.6789,0.6,0.8409,0.5755,0.4516,0.578,0.7805,0.4505
2005-06,24,MIA,0.8421,0.7667,0.8182,0.7736,0.5806,0.8382,0.9106,0.553
2006-07,25,MIA,0.8526,0.4333,1.0,1.0,0.6048,0.9133,0.9593,0.5763
2007-08,26,MIA,0.7053,0.2667,0.8636,0.5377,0.4274,0.4855,0.6829,0.3969
2008-09,27,MIA,1.0,0.5333,1.0,0.6038,0.7177,1.0,0.8862,0.5741
2009-10,28,MIA,0.8105,0.4667,0.7727,0.566,0.5887,0.8613,0.7886,0.4854
2010-11,29,MIA,0.7526,1.0,0.3409,0.5377,0.7742,0.7225,0.9431,0.5071
2011-12,30,MIA,0.5737,0.4667,0.3409,0.8491,0.6371,0.763,0.7642,0.4395
2012-13,31,MIA,0.5263,0.5333,0.4545,0.2264,0.8145,0.6301,0.8618,0.4047
2013-14,32,MIA,0.4105,0.3667,0.3636,0.3019,1.0,0.5145,1.0,0.3957
2014-15,33,MIA,0.5421,0.0333,0.3864,0.6321,0.4516,0.4798,0.561,0.3086
2015-16,34,MIA,0.4105,0.2333,0.3409,0.8679,0.2581,0.4162,0.4228,0.295
2016-17,35,CHI,0.3737,0.3667,0.1591,0.8774,0.2419,0.3121,0.3496,0.268
2017-18,36,TOT,0.0105,0.1333,0.0682,0.1226,0.2823,0.1098,0.2846,0.1011
2017-18,36,CLE,0.0,0.1667,0.0909,0.0,0.4435,0.1618,0.439,0.1302
2017-18,36,MIA,0.0421,0.0,0.0,0.4151,0.0,0.0,0.0,0.0457
2018-19,37,MIA,0.2,0.2,0.25,0.066,0.4113,0.1561,0.3659,0.1649
