Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
2003-04,22,MIA,16.2,4.0,4.5,0.747,0.475,17.6,0.53,0.2391
2004-05,23,MIA,24.1,5.2,6.8,0.762,0.483,23.1,0.561,0.4505
2005-06,24,MIA,27.2,5.7,6.7,0.783,0.499,27.6,0.577,0.553
2006-07,25,MIA,27.4,4.7,7.5,0.807,0.502,28.9,0.583,0.5763
2007-08,26,MIA,24.6,4.2,6.9,0.758,0.48,21.5,0.549,0.3969
2008-09,27,MIA,30.2,5.0,7.5,0.765,0.516,30.4,0.574,0.5741
2009-10,28,MIA,26.6,4.8,6.5,0.761,0.5,28.0,0.562,0.4854
2010-11,29,MIA,25.5,6.4,4.6,0.758,0.523,25.6,0.581,0.5071
2011-12,30,MIA,22.1,4.8,4.6,0.791,0.506,26.3,0.559,0.4395
2012-13,31,MIA,21.2,5.0,5.1,0.725,0.528,24.0,0.571,0.4047
2013-14,32,MIA,19.0,4.5,4.7,0.733,0.551,22.0,0.588,0.3957
2014-15,33,MIA,21.5,3.5,4.8,0.768,0.483,21.4,0.534,0.3086
2015-16,34,MIA,19.0,4.1,4.6,0.793,0.459,20.3,0.517,0.295
2016-17,35,CHI,18.3,4.5,3.8,0.794,0.457,18.5,0.508,0.268
2017-18,36,TOT,11.4,3.8,3.4,0.714,0.462,15.0,0.5,0.1011
2017-18,36,CLE,11.2,3.9,3.5,0.701,0.482,15.9,0.519,0.1302
2017-18,36,MIA,12.0,3.4,3.1,0.745,0.427,13.1,0.465,0.0457
2018-19,37,MIA,15.0,4.0,4.2,0.708,0.478,15.8,0.51,0.1649
