Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
2009-10,20,OKC,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.002
2010-11,21,OKC,0.0878,0.0,0.0319,0.493,0.3469,0.1446,0.4312,0.1535
2011-12,22,OKC,0.2634,0.2,0.2021,0.5352,1.0,0.4277,1.0,0.3628
2012-13,23,HOU,0.6107,0.36,0.4255,0.6056,0.2041,0.5422,0.4495,0.3198
2013-14,24,HOU,0.5916,0.32,0.4574,0.8169,0.4592,0.5723,0.6147,0.3832
2014-15,25,HOU,0.6679,0.52,0.5532,0.8451,0.2755,0.7651,0.4954,0.4122
2015-16,26,HOU,0.729,0.6,0.6064,0.7324,0.2857,0.6807,0.4312,0.4065
2016-17,27,HOU,0.7328,1.0,1.0,0.5493,0.4184,0.8072,0.5688,0.5077
2017-18,28,HOU,0.7824,0.46,0.7447,0.7042,0.5816,0.9518,0.6239,0.4849
2018-19,29,HOU,1.0,0.7,0.6064,1.0,0.5816,1.0,0.5963,0.5484
