Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
2009-10,20,OKC,9.9,3.2,1.8,0.808,0.484,14.0,0.551,0.002
2010-11,21,OKC,12.2,3.1,2.1,0.843,0.518,16.4,0.598,0.1535
2011-12,22,OKC,16.8,4.1,3.7,0.846,0.582,21.1,0.66,0.3628
2012-13,23,HOU,25.9,4.9,5.8,0.851,0.504,23.0,0.6,0.3198
2013-14,24,HOU,25.4,4.7,6.1,0.866,0.529,23.5,0.618,0.3832
2014-15,25,HOU,27.4,5.7,7.0,0.868,0.511,26.7,0.605,0.4122
2015-16,26,HOU,29.0,6.1,7.5,0.86,0.512,25.3,0.598,0.4065
2016-17,27,HOU,29.1,8.1,11.2,0.847,0.525,27.4,0.613,0.5077
2017-18,28,HOU,30.4,5.4,8.8,0.858,0.541,29.8,0.619,0.4849
2018-19,29,HOU,36.1,6.6,7.5,0.879,0.541,30.6,0.616,0.5484
