Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1969-70,22,MIL,0.7571,0.8065,0.7045,0.0,0.3333,0.5647,0.3203,0.3486
1970-71,23,MIL,0.8745,0.9274,0.5227,0.2846,0.7907,0.9471,0.7422,0.5089
1971-72,24,MIL,1.0,0.9758,0.8182,0.2769,0.7674,1.0,0.7187,0.5557
1972-73,25,MIL,0.8138,0.9355,0.9091,0.4615,0.6124,0.9176,0.5391,0.5189
1973-74,26,MIL,0.6842,0.8065,0.8636,0.3769,0.4961,0.6765,0.4141,0.4318
1974-75,27,MIL,0.8057,0.7661,0.7045,0.8462,0.2946,0.7941,0.3047,0.4516
1975-76,28,LAL,0.7126,1.0,0.9091,0.3846,0.4186,0.8412,0.4375,0.4704
1976-77,29,LAL,0.6518,0.7097,0.6591,0.3692,0.8062,0.8765,0.7578,0.483
1977-78,30,LAL,0.6356,0.6774,0.75,1.0,0.5814,0.9588,0.6094,0.5213
1978-79,31,LAL,0.5547,0.6694,1.0,0.6385,0.7907,0.7412,0.7891,0.5184
1979-80,32,LAL,0.5951,0.5081,0.7955,0.8615,1.0,0.7294,1.0,0.549
1980-81,33,LAL,0.6518,0.4677,0.5455,0.8692,0.7674,0.7412,0.8203,0.4863
1981-82,34,LAL,0.5587,0.3387,0.4545,0.4077,0.8062,0.6176,0.7578,0.3941
1982-83,35,LAL,0.4737,0.2419,0.3409,0.7385,0.876,0.6294,0.8437,0.4144
1983-84,36,LAL,0.4615,0.2258,0.3636,0.5385,0.7984,0.4941,0.7578,0.364
1984-85,37,LAL,0.4818,0.2742,0.5,0.6077,0.9612,0.5882,0.9141,0.4327
1985-86,38,LAL,0.5385,0.129,0.5682,0.8615,0.6899,0.5765,0.7187,0.4082
1986-87,39,LAL,0.2996,0.1774,0.3636,0.4692,0.6899,0.2941,0.6719,0.2966
1987-88,40,LAL,0.1822,0.121,0.1591,0.8385,0.4419,0.1706,0.4609,0.2374
1988-89,41,LAL,0.0,0.0,0.0,0.6615,0.0,0.0,0.0,0.0662
