Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1969-70,22,MIL,28.8,14.5,4.1,0.653,0.518,22.5,0.552,0.3486
1970-71,23,MIL,31.7,16.0,3.3,0.69,0.577,29.0,0.606,0.5089
1971-72,24,MIL,34.8,16.6,4.6,0.689,0.574,29.9,0.603,0.5557
1972-73,25,MIL,30.2,16.1,5.0,0.713,0.554,28.5,0.58,0.5189
1973-74,26,MIL,27.0,14.5,4.8,0.702,0.539,24.4,0.564,0.4318
1974-75,27,MIL,30.0,14.0,4.1,0.763,0.513,26.4,0.55,0.4516
1975-76,28,LAL,27.7,16.9,5.0,0.703,0.529,27.2,0.567,0.4704
1976-77,29,LAL,26.2,13.3,3.9,0.701,0.579,27.8,0.608,0.483
1977-78,30,LAL,25.8,12.9,4.3,0.783,0.55,29.2,0.589,0.5213
1978-79,31,LAL,23.8,12.8,5.4,0.736,0.577,25.5,0.612,0.5184
1979-80,32,LAL,24.8,10.8,4.5,0.765,0.604,25.3,0.639,0.549
1980-81,33,LAL,26.2,10.3,3.4,0.766,0.574,25.5,0.616,0.4863
1981-82,34,LAL,23.9,8.7,3.0,0.706,0.579,23.4,0.608,0.3941
1982-83,35,LAL,21.8,7.5,2.5,0.749,0.588,23.6,0.619,0.4144
1983-84,36,LAL,21.5,7.3,2.6,0.723,0.578,21.3,0.608,0.364
1984-85,37,LAL,22.0,7.9,3.2,0.732,0.599,22.9,0.628,0.4327
1985-86,38,LAL,23.4,6.1,3.5,0.765,0.564,22.7,0.603,0.4082
1986-87,39,LAL,17.5,6.7,2.6,0.714,0.564,17.9,0.597,0.2966
1987-88,40,LAL,14.6,6.0,1.7,0.762,0.532,15.8,0.57,0.2374
1988-89,41,LAL,10.1,4.5,1.0,0.739,0.475,12.9,0.511,0.0662
