Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
2007-08,19,SEA,0.0,0.0,0.0,0.3725,0.0,0.0,0.0,0.0372
2008-09,20,OKC,0.4274,0.5385,0.1143,0.1765,0.4126,0.3571,0.4394,0.2466
2009-10,21,OKC,0.8376,0.8205,0.1143,0.902,0.4406,0.7429,0.6667,0.4525
2010-11,22,OKC,0.6325,0.6154,0.0857,0.5098,0.4056,0.5571,0.5303,0.3336
2011-12,23,OKC,0.6581,0.9231,0.3143,0.1176,0.6713,0.7429,0.6894,0.4117
2012-13,24,OKC,0.6667,0.8974,0.6286,1.0,0.7552,0.8929,0.9697,0.5811
2013-14,25,OKC,1.0,0.7692,0.8857,0.3725,0.7622,1.0,0.8788,0.5668
2014-15,26,OKC,0.4359,0.5641,0.4857,0.0,0.8881,0.8429,0.8636,0.408
2015-16,27,OKC,0.6752,0.9744,0.7429,0.8627,0.8531,0.8857,0.8712,0.5865
2016-17,28,GSW,0.4103,1.0,0.6857,0.4118,1.0,0.8429,1.0,0.5351
2017-18,29,GSW,0.5214,0.6154,0.8571,0.6863,0.9441,0.7286,0.9167,0.527
2018-19,30,GSW,0.4872,0.5128,1.0,0.6078,0.8392,0.6,0.8485,0.4896
