Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1996-97,18,LAL,0.0,0.0,0.0,0.3378,0.7097,0.2139,0.6757,0.1937
1997-98,19,LAL,0.2806,0.24,0.24,0.0,0.6237,0.4509,0.7117,0.2547
1998-99,20,LAL,0.4424,0.68,0.5,0.6081,0.7634,0.474,0.7207,0.4189
1999-00,21,LAL,0.536,0.88,0.72,0.3649,0.828,0.6358,0.6937,0.4658
2000-01,22,LAL,0.7518,0.8,0.74,0.7973,0.7849,0.7977,0.7477,0.5419
2001-02,23,LAL,0.6331,0.72,0.84,0.473,0.7312,0.7225,0.6757,0.4796
2002-03,24,LAL,0.8058,1.0,0.92,0.6622,0.7742,0.896,0.7297,0.5788
2003-04,25,LAL,0.5899,0.72,0.76,0.7838,0.6129,0.7514,0.7387,0.4957
2004-05,26,LAL,0.7194,0.8,0.94,0.2973,0.7634,0.7283,0.8468,0.5095
2005-06,27,LAL,1.0,0.68,0.64,0.7568,0.8602,1.0,0.8108,0.5748
2006-07,28,LAL,0.8633,0.76,0.82,1.0,0.9785,0.8902,1.0,0.6312
2007-08,29,LAL,0.7446,0.88,0.82,0.6216,0.9892,0.7803,0.964,0.58
2008-09,30,LAL,0.6906,0.66,0.72,0.8378,0.9785,0.7919,0.8288,0.5508
2009-10,31,LAL,0.6978,0.7,0.74,0.2297,0.828,0.6474,0.6847,0.4528
2010-11,32,LAL,0.6367,0.64,0.68,0.4595,0.8172,0.763,0.7117,0.4708
2011-12,33,LAL,0.7302,0.7,0.66,0.6892,0.5484,0.6474,0.5225,0.4498
2012-13,34,LAL,0.7086,0.74,0.94,0.6081,1.0,0.711,0.9099,0.5618
2013-14,35,LAL,0.223,0.48,1.0,0.8514,0.3656,0.0,0.3243,0.3244
2014-15,36,LAL,0.5288,0.76,0.86,0.2568,0.0,0.3988,0.0721,0.2876
2015-16,37,LAL,0.3597,0.36,0.3,0.4324,0.0645,0.2428,0.0,0.1759
