Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1996-97,18,LAL,7.6,1.9,1.3,0.819,0.477,14.4,0.544,0.1937
1997-98,19,LAL,15.4,3.1,2.5,0.794,0.469,18.5,0.548,0.2547
1998-99,20,LAL,19.9,5.3,3.8,0.839,0.482,18.9,0.549,0.4189
1999-00,21,LAL,22.5,6.3,4.9,0.821,0.488,21.7,0.546,0.4658
2000-01,22,LAL,28.5,5.9,5.0,0.853,0.484,24.5,0.552,0.5419
2001-02,23,LAL,25.2,5.5,5.5,0.829,0.479,23.2,0.544,0.4796
2002-03,24,LAL,30.0,6.9,5.9,0.843,0.483,26.2,0.55,0.5788
2003-04,25,LAL,24.0,5.5,5.1,0.852,0.468,23.7,0.551,0.4957
2004-05,26,LAL,27.6,5.9,6.0,0.816,0.482,23.3,0.563,0.5095
2005-06,27,LAL,35.4,5.3,4.5,0.85,0.491,28.0,0.559,0.5748
2006-07,28,LAL,31.6,5.7,5.4,0.868,0.502,26.1,0.58,0.6312
2007-08,29,LAL,28.3,6.3,5.4,0.84,0.503,24.2,0.576,0.58
2008-09,30,LAL,26.8,5.2,4.9,0.856,0.502,24.4,0.561,0.5508
2009-10,31,LAL,27.0,5.4,5.0,0.811,0.488,21.9,0.545,0.4528
2010-11,32,LAL,25.3,5.1,4.7,0.828,0.487,23.9,0.548,0.4708
2011-12,33,LAL,27.9,5.4,4.6,0.845,0.462,21.9,0.527,0.4498
2012-13,34,LAL,27.3,5.6,6.0,0.839,0.504,23.0,0.57,0.5618
2013-14,35,LAL,13.8,4.3,6.3,0.857,0.445,10.7,0.505,0.3244
2014-15,36,LAL,22.3,5.7,5.6,0.813,0.411,17.6,0.477,0.2876
2015-16,37,LAL,17.6,3.7,2.8,0.826,0.417,14.9,0.469,0.1759
