Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1979-80,23,BOS,0.1887,0.875,0.0,0.0,0.2706,0.0988,0.2292,0.1662
1980-81,24,BOS,0.1792,0.9792,0.3226,0.2432,0.1647,0.0247,0.125,0.2039
1981-82,25,BOS,0.3396,0.9792,0.4194,0.2432,0.4235,0.358,0.4271,0.319
1982-83,26,BOS,0.4057,1.0,0.4194,0.036,0.4824,0.5432,0.4688,0.3356
1983-84,27,BOS,0.4623,0.8125,0.6774,0.4685,0.3059,0.5556,0.375,0.3657
1984-85,28,BOS,0.8868,0.8958,0.6774,0.4144,0.7882,0.8395,0.7187,0.5221
1985-86,29,BOS,0.6132,0.75,0.7419,0.5405,0.5882,0.7284,0.6667,0.4629
1986-87,30,BOS,0.8302,0.625,1.0,0.6667,0.9882,0.8272,1.0,0.5937
1987-88,31,BOS,1.0,0.6458,0.5161,0.7207,1.0,1.0,0.9583,0.5841
1988-89,32,BOS,0.0,0.0,0.0968,1.0,0.0,0.0123,0.0,0.1109
1989-90,33,BOS,0.4717,0.6875,0.9677,0.8468,0.2824,0.2716,0.3125,0.384
1990-91,34,BOS,0.0094,0.4792,0.871,0.4955,0.2471,0.0,0.1458,0.2248
1991-92,35,BOS,0.0849,0.7083,0.7419,0.8108,0.3412,0.1605,0.3229,0.317
