Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1979-80,23,BOS,21.3,10.4,4.5,0.836,0.494,20.5,0.538,0.1662
1980-81,24,BOS,21.2,10.9,5.5,0.863,0.485,19.9,0.528,0.2039
1981-82,25,BOS,22.9,10.9,5.8,0.863,0.507,22.6,0.557,0.319
1982-83,26,BOS,23.6,11.0,5.8,0.84,0.512,24.1,0.561,0.3356
1983-84,27,BOS,24.2,10.1,6.6,0.888,0.497,24.2,0.552,0.3657
1984-85,28,BOS,28.7,10.5,6.6,0.882,0.538,26.5,0.585,0.5221
1985-86,29,BOS,25.8,9.8,6.8,0.896,0.521,25.6,0.58,0.4629
1986-87,30,BOS,28.1,9.2,7.6,0.91,0.555,26.4,0.612,0.5937
1987-88,31,BOS,29.9,9.3,6.1,0.916,0.556,27.8,0.608,0.5841
1988-89,32,BOS,19.3,6.2,4.8,0.947,0.471,19.8,0.516,0.1109
1989-90,33,BOS,24.3,9.5,7.5,0.93,0.495,21.9,0.546,0.384
1990-91,34,BOS,19.4,8.5,7.2,0.891,0.492,19.7,0.53,0.2248
1991-92,35,BOS,20.2,9.6,6.8,0.926,0.5,21.0,0.547,0.317
