Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
2003-04,19,CLE,20.9,5.5,5.9,0.754,0.438,18.3,0.488,0.0774
2004-05,20,CLE,27.2,7.4,7.2,0.75,0.504,25.7,0.554,0.3704
2005-06,21,CLE,31.4,7.0,6.6,0.738,0.515,28.1,0.568,0.4013
2006-07,22,CLE,27.3,6.7,6.0,0.698,0.507,24.5,0.552,0.2576
2007-08,23,CLE,30.0,7.9,7.2,0.712,0.518,29.1,0.568,0.4224
2008-09,24,CLE,28.4,7.6,7.2,0.78,0.53,31.7,0.591,0.4973
2009-10,25,CLE,29.7,7.3,8.6,0.767,0.545,31.1,0.604,0.5447
2010-11,26,MIA,26.7,7.5,7.0,0.759,0.541,27.3,0.594,0.4288
2011-12,27,MIA,27.1,7.9,6.2,0.771,0.554,30.7,0.605,0.4707
2012-13,28,MIA,26.8,8.0,7.3,0.753,0.603,31.6,0.64,0.5467
2013-14,29,MIA,27.1,6.9,6.3,0.75,0.61,29.3,0.649,0.4727
2014-15,30,CLE,25.3,6.0,7.4,0.71,0.535,25.9,0.577,0.3124
2015-16,31,CLE,25.3,7.4,6.8,0.731,0.551,27.5,0.588,0.3852
2016-17,32,CLE,26.4,8.6,8.7,0.674,0.594,27.0,0.619,0.4847
2017-18,33,CLE,27.5,8.6,9.1,0.731,0.59,28.6,0.621,0.5681
2018-19,34,LAL,27.4,8.5,8.3,0.665,0.56,25.6,0.588,0.4212
