Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1979-80,20,LAL,18.0,7.7,7.3,0.81,0.534,20.6,0.602,0.2163
1980-81,21,LAL,21.6,8.6,8.6,0.76,0.534,25.7,0.582,0.3099
1981-82,22,LAL,18.6,9.6,9.5,0.76,0.54,22.9,0.59,0.2967
1982-83,23,LAL,16.8,8.6,10.5,0.8,0.548,23.0,0.603,0.3302
1983-84,24,LAL,17.6,7.3,13.1,0.81,0.569,22.6,0.628,0.4216
1984-85,25,LAL,18.3,6.2,12.6,0.843,0.565,23.2,0.637,0.4346
1985-86,26,LAL,18.8,5.9,12.6,0.871,0.532,24.0,0.61,0.3693
1986-87,27,LAL,23.9,6.3,12.2,0.848,0.525,27.0,0.602,0.4355
1987-88,28,LAL,19.6,6.2,11.9,0.853,0.497,23.1,0.581,0.2479
1988-89,29,LAL,22.5,7.9,12.8,0.911,0.535,26.9,0.625,0.5663
1989-90,30,LAL,22.3,6.6,11.5,0.89,0.526,26.6,0.622,0.4734
1990-91,31,LAL,19.4,7.0,12.5,0.906,0.518,25.1,0.623,0.4464
1995-96,36,LAL,14.6,5.7,6.9,0.856,0.503,21.1,0.612,0.1351
