Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1984-85,21,CHI,0.4795,0.6591,0.5882,0.8356,0.7538,0.5242,0.8493,0.469
1985-86,22,CHI,0.1579,0.0,0.0,0.7671,0.3231,0.6613,0.4452,0.2355
1986-87,23,CHI,1.0,0.3636,0.3333,1.0,0.4923,0.8468,0.6438,0.468
1987-88,24,CHI,0.8772,0.4318,0.5882,0.7808,0.9,1.0,0.9247,0.5503
1988-89,25,CHI,0.731,1.0,1.0,0.9041,0.9692,0.9516,1.0,0.6556
1989-90,26,CHI,0.7953,0.75,0.6667,0.8767,1.0,0.9597,0.9452,0.5994
1990-91,27,CHI,0.6725,0.5455,0.5098,0.9178,0.9769,0.9919,0.9384,0.5553
1991-92,28,CHI,0.5906,0.6364,0.6275,0.6575,0.8154,0.6774,0.7603,0.4765
1992-93,29,CHI,0.7368,0.7045,0.5098,0.726,0.7308,0.8387,0.6575,0.4904
1994-95,31,CHI,0.4035,0.75,0.4706,0.2329,0.0846,0.2258,0.1712,0.2339
1995-96,32,CHI,0.6082,0.6818,0.2745,0.6849,0.8077,0.8145,0.7808,0.4652
1996-97,33,CHI,0.5614,0.5227,0.2745,0.6712,0.7385,0.6855,0.6781,0.4132
1997-98,34,CHI,0.5088,0.5,0.1176,0.0,0.4077,0.4758,0.4452,0.2455
2001-02,38,WAS,0.1696,0.4773,0.451,0.0822,0.0,0.1129,0.0,0.1293
2002-03,39,WAS,0.0,0.5682,0.1765,0.5068,0.2308,0.0,0.1575,0.164
