Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
1984-85,21,CHI,28.2,6.5,5.9,0.845,0.518,25.8,0.592,0.469
1985-86,22,CHI,22.7,3.6,2.9,0.84,0.462,27.5,0.533,0.2355
1986-87,23,CHI,37.1,5.2,4.6,0.857,0.484,29.8,0.562,0.468
1987-88,24,CHI,35.0,5.5,5.9,0.841,0.537,31.7,0.603,0.5503
1988-89,25,CHI,32.5,8.0,8.0,0.85,0.546,31.1,0.614,0.6556
1989-90,26,CHI,33.6,6.9,6.3,0.848,0.55,31.2,0.606,0.5994
1990-91,27,CHI,31.5,6.0,5.5,0.851,0.547,31.6,0.605,0.5553
1991-92,28,CHI,30.1,6.4,6.1,0.832,0.526,27.7,0.579,0.4765
1992-93,29,CHI,32.6,6.7,5.5,0.837,0.515,29.7,0.564,0.4904
1994-95,31,CHI,26.9,6.9,5.3,0.801,0.431,22.1,0.493,0.2339
1995-96,32,CHI,30.4,6.6,4.3,0.834,0.525,29.4,0.582,0.4652
1996-97,33,CHI,29.6,5.9,4.3,0.833,0.516,27.8,0.567,0.4132
1997-98,34,CHI,28.7,5.8,3.5,0.784,0.473,25.2,0.533,0.2455
2001-02,38,WAS,22.9,5.7,5.2,0.79,0.42,20.7,0.468,0.1293
2002-03,39,WAS,20.0,6.1,3.8,0.821,0.45,19.3,0.491,0.164
