Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
2009-10,21,GSW,0.1818,0.55,0.2121,0.608,0.0,0.0,0.0,0.1552
2010-11,22,GSW,0.2532,0.25,0.1818,1.0,0.1684,0.2039,0.2523,0.231
2011-12,23,GSW,0.0,0.0,0.0303,0.0,0.5053,0.3224,0.3458,0.1204
2012-13,24,GSW,0.5325,0.3,0.5152,0.728,0.1474,0.3289,0.1963,0.2748
2013-14,25,GSW,0.6039,0.45,1.0,0.608,0.3263,0.5132,0.3925,0.3894
2014-15,26,GSW,0.5909,0.45,0.7576,0.84,0.6211,0.7697,0.6542,0.4684
2015-16,27,GSW,1.0,1.0,0.4545,0.792,1.0,1.0,0.9439,0.619
2016-17,28,GSW,0.6883,0.55,0.4242,0.712,0.4737,0.5461,0.5234,0.3918
2017-18,29,GSW,0.7597,0.85,0.2727,0.896,0.8737,0.7829,1.0,0.5435
2018-19,30,GSW,0.8182,0.95,0.0,0.856,0.7263,0.5329,0.6822,0.4566
