Season,Age,Team,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE
2009-10,21,GSW,17.5,4.5,5.9,0.885,0.535,16.3,0.568,0.1552
2010-11,22,GSW,18.6,3.9,5.8,0.934,0.551,19.4,0.595,0.231
2011-12,23,GSW,14.7,3.4,5.3,0.809,0.583,21.2,0.605,0.1204
2012-13,24,GSW,22.9,4.0,6.9,0.9,0.549,21.3,0.589,0.2748
2013-14,25,GSW,24.0,4.3,8.5,0.885,0.566,24.1,0.61,0.3894
2014-15,26,GSW,23.8,4.3,7.7,0.914,0.594,28.0,0.638,0.4684
2015-16,27,GSW,30.1,5.4,6.7,0.908,0.63,31.5,0.669,0.619
2016-17,28,GSW,25.3,4.5,6.6,0.898,0.58,24.6,0.624,0.3918
2017-18,29,GSW,26.4,5.1,6.1,0.921,0.618,28.2,0.675,0.5435
2018-19,30,GSW,27.3,5.3,5.2,0.916,0.604,24.4,0.641,0.4566
