Year,Name,HITP Index,URL,Points,Rebounds,Assists,TS,Wins,Memorability
2000,Shaquille O'Neal,,https://www.basketball-reference.com/players/o/onealsh01.html,29.7,13.6,3.8,,67,1
2001,Allen Iverson,,https://www.basketball-reference.com/players/i/iversal01.html,31.1,3.8,4.6,,56,3
2002,Tim Duncan,,https://www.basketball-reference.com/players/d/duncati01.html,25.5,12.7,3.7,,58,2
2003,Tim Duncan,,https://www.basketball-reference.com/players/d/duncati01.html,23.3,12.9,3.9,,60,2
2004,Kevin Garnett,,https://www.basketball-reference.com/players/g/garneke01.html,24.2,13.9,5.0,,58,1
2005,Steve Nash,,https://www.basketball-reference.com/players/n/nashst01.html,15.5,3.3,11.5,,62,1
2006,Steve Nash,,https://www.basketball-reference.com/players/n/nashst01.html,18.8,4.2,10.5,,54,1
2007,Dirk Nowitzki,,https://www.basketball-reference.com/players/n/nowitdi01.html,24.6,8.9,3.4,,67,3
2008,Kobe Bryant,,https://www.basketball-reference.com/players/b/bryanko01.html,28.3,6.3,5.4,,57,1
2009,LeBron James,,https://www.basketball-reference.com/players/j/jamesle01.html,28.4,7.6,7.2,,66,3
2010,LeBron James,,https://www.basketball-reference.com/players/j/jamesle01.html,29.7,7.3,8.6,,61,2
2011,Derrick Rose,,https://www.basketball-reference.com/players/r/rosede01.html,25.0,4.1,7.7,,62,3
2012,LeBron James,,https://www.basketball-reference.com/players/j/jamesle01.html,27.1,7.9,6.2,,46,2
2013,LeBron James,,https://www.basketball-reference.com/players/j/jamesle01.html,26.8,8.0,7.3,,66,3
2014,Kevin Durant,,https://www.basketball-reference.com/players/d/duranke01.html,32.0,7.4,5.5,,59,2
2015,Stephen Curry,,https://www.basketball-reference.com/players/c/curryst01.html,23.8,4.3,7.7,,67,2
2016,Stephen Curry,,https://www.basketball-reference.com/players/c/curryst01.html,30.1,5.4,6.7,,73,3
2017,Russell Westbrook,,https://www.basketball-reference.com/players/w/westbru01.html,31.6,10.7,10.4,,47,1
2018,James Harden,,https://www.basketball-reference.com/players/h/hardeja01.html,30.4,5.4,8.8,,65,2
2019,Giannis Antetokounmpo,,https://www.basketball-reference.com/players/a/antetgi01.html,27.7,12.5,5.9,,60,2
