Name,Basketball Reference URL
LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html
Michael Jordan,https://www.basketball-reference.com/players/j/jordami01.html
Kareem Abdul-Jabbar,https://www.basketball-reference.com/players/a/abdulka01.html
Bill Russell,https://www.basketball-reference.com/players/r/russebi01.html
Kobe Bryant,https://www.basketball-reference.com/players/b/bryanko01.html
Kevin Durant,https://www.basketball-reference.com/players/d/duranke01.html
James Harden,https://www.basketball-reference.com/players/h/hardeja01.html
Steph Curry,https://www.basketball-reference.com/players/c/curryst01.html
Dwyane Wade,https://www.basketball-reference.com/players/w/wadedw01.html
Dirk Nowitzki,https://www.basketball-reference.com/players/n/nowitdi01.html
Larry Bird,https://www.basketball-reference.com/players/b/birdla01.html
Magic Johnson,https://www.basketball-reference.com/players/j/johnsma02.html
